std_smiles,CHEMBL1075317.csv,CHEMBL1163125.csv,CHEMBL1795116.csv,CHEMBL1829.csv,CHEMBL1865.csv,CHEMBL1937.csv,CHEMBL1993.csv,CHEMBL2157850.csv,CHEMBL2169716.csv,CHEMBL2185.csv,CHEMBL2189110.csv,CHEMBL2424504.csv,CHEMBL2563.csv,CHEMBL2971.csv,CHEMBL301.csv,CHEMBL3045.csv,CHEMBL3055.csv,CHEMBL308.csv,CHEMBL3105.csv,CHEMBL3142.csv,CHEMBL3192.csv,CHEMBL325.csv,CHEMBL3524.csv,CHEMBL3774295.csv,CHEMBL4036.csv,CHEMBL4145.csv,CHEMBL4630.csv,CHEMBL4722.csv,CHEMBL5024.csv,CHEMBL5406.csv,CHEMBL5747.csv,CHEMBL5776.csv,CHEMBL5921.csv,CHEMBL6032.csv,CHEMBL6136.csv,CHEMBL6175.csv
CNC[C@@H](O)COc1ccc(Cl)c(-c2nc(NC3CC(C)C3)c(C)c(-c3c(C)noc3C)n2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Cc1nnc(NC(=O)c2csc([C@@H]3C[C@H]3NC3CCN(C4CC4)CC3)c2)s1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,
CNC(=O)C(c1cc(-c2ncnc3cc(N4CCOCC4)ccc23)c(F)cc1Cl)c1nccnc1C,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,
C[C@H]1C[C@@H](Oc2ccc(-c3ncnc(Nc4ccc(N5CCN(C6COC6)CC5)cc4)n3)cc2C#N)CCN1C(=O)CO,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Cc1cc2c(cc(N[C@H]3CC[C@@H](N(C)C)CC3)c3nnc(C)n32)n1Cc1ccccc1,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cc1ncnc2c1ccn2[C@@H]1O[C@@H](c2cnco2)[C@@H](O)[C@H]1O,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CC(C)n1cc(-c2cnc(N)c(-c3cc(-c4ccc(CNC5CC5)cc4)no3)n2)ccc1=O,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
CNCC(O)COc1cccc(-c2nc(N[C@@H]3CCNC[C@@H]3F)c(C)c(-c3c(C)noc3C)n2)c1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
O=C(NC(CS(=O)(=O)CCN[C@@H]1C[C@H]1c1ccc(F)cc1)C(=O)N1CCOCC1)c1ccc(F)cc1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,
N#CC[C@@H](C1CCN(C(=O)OC2CCOCC2)CC1)n1cc(C(N)=O)c(Nc2ccc(F)cc2)n1,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,
NCCCCc1ccc2c(c1)-c1[nH]c3ccc([N+](=O)[O-])cc3c1CC(=O)N2,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,,
CC(c1ccc2nccnc2c1)N1CCN(c2ccc(C(=O)O)cn2)CC1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
O=C(CCc1ncc[nH]1)NC[C@H](O)CN1CCc2ccccc2C1,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
