std_smiles,HDAC1,HDAC2,HDAC3,HDAC4,HDAC5,HDAC6,HDAC7,HDAC8,HDAC9,HDAC10,HDAC11
CN(CCc1ccccc1)S(=O)(=O)c1cccc(/C=C/C(O)=NO)c1,1.0,1.0,1.0,1.0,0.0,1.0,0.0,1.0,0.0,,
ON=C(O)c1ccc2[nH]c(-c3ccccc3C(F)(F)F)nc2c1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
COc1ccc(-c2ccc(-c3nc4cc(C(O)=NO)ccc4o3)cc2)cn1,0.0,0.0,1.0,,,1.0,,0.0,,,
CCc1ccc(-c2nc3cc(C(O)=NO)ccc3[nH]2)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
Cc1noc(C)c1-c1cc2cc(C(O)=NO)ccc2s1,0.0,0.0,0.0,,,0.0,,1.0,,,
Cn1cc(CCNCc2ccc(/C=C/C(O)=NO)cc2)c2ccccc21,0.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,
ON=C(O)c1ccc2oc(-c3ccccc3Cl)nc2c1,0.0,0.0,1.0,,,0.0,,1.0,,,
ON=C(O)c1ccc2oc(COc3cccc(F)c3)cc2c1,1.0,0.0,1.0,,,0.0,,0.0,,,
CN(Cc1ccc2c(c1)CCC(C(O)=NO)=C2)CC12CC3CC(CC(C3)C1)C2,1.0,,1.0,1.0,1.0,1.0,0.0,0.0,0.0,,
ON=C(O)c1ccc2[nH]c(-c3ccc(-c4ccccc4)cc3)nc2c1,0.0,0.0,0.0,,,0.0,,1.0,,,
CCCCNNC(=O)c1ccc(-c2cc(C)cc(F)c2)cc1,1.0,0.0,1.0,,,0.0,,0.0,,,
COc1ccc(-c2cc(-c3ccccc3)[nH]c2C(=O)NCc2ccc(C(=O)Nc3ncccn3)cc2)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
O=C(Nc1ccc(C(O)=NO)cc1)c1[nH]c(-c2ccccc2)cc1-c1ccc(O)cc1,1.0,0.0,1.0,,,1.0,,1.0,,,
O=C(NCc1ccc(C(O)=NO)cc1)c1[nH]c(-c2ccoc2)cc1-c1ccc(F)cc1,1.0,0.0,1.0,,,1.0,,1.0,,,
CN(Cc1ccc(/C=C/C(O)=NO)cc1F)CC12CC3CC(CC(C3)C1)C2,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
CN(Cc1ccc(/C=C/C(O)=NO)cc1)CC12CC3CC(CC(C3)C1)C2,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,,
CC(C)c1ccc(-c2cc3cc(C(O)=NO)cnc3o2)cc1,1.0,0.0,1.0,,,0.0,,1.0,,,
ON=C(O)/C=C/c1ccc(CNCC23CC4CC(CC(C4)C2)C3)cc1,1.0,1.0,1.0,,,1.0,0.0,0.0,0.0,,
CCCCNNC(=O)c1ccc(N(C)C)cc1,0.0,0.0,0.0,,,0.0,,0.0,,,
ON=C(O)c1ccc2oc(-c3ccc(C4CC4)cc3)nc2c1,0.0,0.0,1.0,,,0.0,,0.0,,,
Cn1c(-c2ccc(-c3ccccc3)cc2)nc2cc(C(O)=NO)ccc21,1.0,0.0,0.0,,,0.0,,1.0,,,
CCCCCNNC(=O)c1ccc(Br)cc1,0.0,0.0,1.0,,,0.0,,0.0,,,
CC(C)c1ccc(-c2nc3cc(C(O)=NO)ccc3n2C)cc1,0.0,0.0,0.0,,,0.0,,1.0,,,
ON=C(O)c1ccc2nc(-c3cccc4cccnc34)sc2c1,0.0,0.0,0.0,,,1.0,,1.0,,,
COc1ccc2c(c1)C(=O)N(CCCCCC(O)=NO)c1ccccc1S2(=O)=O,1.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,,
COc1ccc(-c2cc(-c3ccsc3)c(C(=O)NCc3ccc(C(O)=NO)cc3)[nH]2)cc1,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0
